cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,wheel_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,payload_active,dataset_ready,dataset_id,dataset_count,acquisition_stage,active_stage,active_stage_n,roi_count,processing_queue,thermal_mode,heater_active,thermal_temp_c,propulsion_mode,propulsion_active,propulsion_thrust_n
10,120.948,20,39.2553,26.2553,56.0191,48.0191,1,"TRACKER_DEGRADED",13.2553,4.25532,4,2,1,6,8,5,"IDLE","none",2.46304,1.15215,0.26597,0,8,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.67,"IDLE",0,0
11,121.815,20,39.2794,26.2794,56.6519,48.6519,1,"TRACKER_DEGRADED",13.2794,4.27945,4,2,1,6,8,5,"IDLE","none",2.51082,1.19982,0.328897,0,9,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.64,"IDLE",0,0
12,122.779,20,42.3106,29.3106,55.1017,47.1017,1,"CORRECTING",16.3106,4.31061,4,2,1,6,8,5,"IDLE","none",2.55186,1.34031,0.947838,1,24,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.61,"IDLE",0,0
13,123.814,20,39.335,26.335,58.1091,50.1091,1,"TRACKER_DEGRADED",13.335,4.33498,4,2,1,6,8,5,"IDLE","none",2.58488,1.37316,0.177444,0,10,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.58,"IDLE",0,0
14,124.889,20,42.3639,29.3639,56.6436,48.6436,1,"CORRECTING",16.3639,4.36387,4,2,1,6,8,5,"IDLE","none",2.61075,1.46101,0.633314,1,16,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.55,"IDLE",0,0
15,125.972,20,39.3875,26.3875,59.6887,51.6887,1,"TRACKER_DEGRADED",13.3875,4.38745,4,2,1,6,8,5,"IDLE","none",2.62914,1.47856,0.0950891,0,8,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.52,"IDLE",0,0
16,127.032,20,39.4113,26.4113,60.4658,52.4658,1,"TRACKER_DEGRADED",13.4113,4.41129,4,2,1,6,8,5,"IDLE","none",2.64122,1.49014,0.247517,0,7,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.49,"IDLE",0,0
17,128.037,20,42.4383,29.4383,58.9488,50.9488,1,"CORRECTING",16.4383,4.43831,4,2,1,6,8,5,"IDLE","none",2.64788,1.54153,0.479849,1,13,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.46,"IDLE",0,0
18,128.955,20,42.4649,29.4649,59.6174,51.6174,1,"CORRECTING",16.4649,4.46488,4,2,1,6,8,5,"IDLE","none",2.64908,1.58864,0.51614,1,13,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.43,"IDLE",0,0
19,129.759,20,39.4879,26.4879,62.4533,54.4533,1,"TRACKER_DEGRADED",13.4879,4.4879,4,2,1,6,8,5,"IDLE","none",2.64499,1.5842,0.284974,0,12,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.4,"IDLE",0,0
20,130.426,20,42.5303,29.5303,60.6715,52.6715,1,"CORRECTING",16.5303,4.53031,4,2,1,6,8,5,"IDLE","none",2.67116,1.65433,0.525415,1,15,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.37,"IDLE",0,0
21,130.936,20,42.578,29.578,61.0185,53.0185,1,"CORRECTING",16.578,4.57801,4,2,1,6,8,5,"IDLE","none",2.72134,1.78038,0.936284,1,24,"STANDBY",41649752,"IDLE",0,0,"dataset_0",1,0,3,1024,14,1,"PASSIVE",0,17.34,"IDLE",0,0
22,131.277,20,46.6261,33.6261,58.2381,50.2381,1,"CORRECTING",16.6261,4.62607,4,2,1,10,8,5,"IDLE","none",2.7896,1.88542,0.472939,1,13,"STANDBY",41649752,"ACQUIRE",1,0,"dataset_0",1,1,3,1024,14,1,"PASSIVE",0,17.31,"IDLE",0,0
23,131.441,20,46.6762,33.6762,58.3236,50.3236,1,"CORRECTING",16.6762,4.67618,4,2,1,10,8,5,"IDLE","none",2.87138,2.01306,0.620238,1,20,"STANDBY",41649752,"ACQUIRE",1,0,"dataset_0",1,2,3,1024,14,1,"PASSIVE",0,17.28,"IDLE",0,0
24,131.428,20,42.7286,29.7286,61.2742,53.2742,1,"CORRECTING",16.7286,4.72863,4,2,1,6,8,5,"IDLE","none",2.96261,2.15699,0.757131,1,24,"STANDBY",41649752,"READY",0,1,"dataset_1",2,3,3,1024,14,1,"PASSIVE",0,17.25,"IDLE",0,0
25,131.242,20,42.7827,29.7827,61.0947,53.0947,1,"CORRECTING",16.7827,4.78273,4,2,1,6,8,5,"IDLE","none",3.05959,2.29936,0.67948,1,17,"STANDBY",41649752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,17.22,"IDLE",0,0
26,130.897,20,42.8375,29.8375,60.7945,52.7945,1,"CORRECTING",16.8375,4.83754,4,2,1,6,8,5,"IDLE","none",3.15905,2.44308,0.710252,1,23,"STANDBY",41649752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,17.19,"IDLE",0,0
27,130.409,20,39.8917,26.8917,62.6377,54.6377,1,"TRACKER_DEGRADED",13.8917,4.8917,4,2,1,6,8,5,"IDLE","none",3.25834,2.54601,0.178346,0,9,"STANDBY",41649752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,17.16,"IDLE",0,0
28,129.8,20,39.9448,26.9448,62.1415,54.1415,1,"TRACKER_DEGRADED",13.9448,4.94482,4,2,1,6,8,5,"IDLE","none",3.35561,2.64558,0.366879,0,14,"STANDBY",41649752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,17.13,"IDLE",0,0
29,129.098,20,54.0018,41.0018,51.0718,43.0718,1,"CORRECTING",17.0018,5.00185,15,2,1,6,8,5,"THROTTLED","none",3.44975,2.77904,0.646188,1,25,"DOWNLINK",41641752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,17.1,"IDLE",0,0
30,128.331,20,51.0562,38.0562,52.7058,44.7058,1,"TRACKER_DEGRADED",14.0562,5.05619,15,2,1,6,8,5,"THROTTLED","none",3.53895,2.87012,0.145866,0,11,"DOWNLINK",41633752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,17.07,"IDLE",0,0
31,127.53,20,54.1147,41.1147,49.8118,41.8118,1,"CORRECTING",17.1147,5.11469,15,2,1,6,8,5,"THROTTLED","none",3.62265,3.00255,0.879987,1,22,"DOWNLINK",41625752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,17.04,"IDLE",0,0
32,126.729,20,51.1702,38.1702,51.4189,43.4189,1,"TRACKER_DEGRADED",14.1702,5.17017,15,2,1,6,8,5,"THROTTLED","none",3.69948,3.08127,0.171679,0,6,"DOWNLINK",41617752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,17.01,"IDLE",0,0
33,125.957,20,54.2278,41.2278,48.5468,40.5468,1,"CORRECTING",17.2278,5.2278,15,2,1,6,8,5,"THROTTLED","none",3.76929,3.18145,0.581505,1,15,"DOWNLINK",41609752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,16.98,"IDLE",0,0
34,125.244,20,51.2833,38.2833,50.2205,42.2205,1,"TRACKER_DEGRADED",14.2833,5.28326,15,2,1,6,8,5,"THROTTLED","none",3.83156,3.24498,0.265204,0,8,"DOWNLINK",41601752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,16.95,"IDLE",0,0
35,124.616,20,54.3412,41.3412,47.4562,39.4562,1,"CORRECTING",17.3412,5.3412,15,2,1,6,8,5,"THROTTLED","none",3.88656,3.33139,0.628472,1,17,"DOWNLINK",41593752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,16.92,"IDLE",0,0
36,124.095,20,54.3986,41.3986,47.0226,39.0226,1,"CORRECTING",17.3986,5.39863,15,2,1,6,8,5,"THROTTLED","none",3.93396,3.40495,0.55492,1,14,"DOWNLINK",41585752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,16.89,"IDLE",0,0
37,123.699,20,43.4562,30.4562,54.9319,46.9319,1,"CORRECTING",17.4562,5.45621,4,2,1,6,8,5,"IDLE","none",3.97384,3.47735,0.747892,1,25,"STANDBY",41585752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,16.86,"IDLE",0,0
38,123.438,20,43.5147,30.5147,54.6921,46.6921,1,"CORRECTING",17.5147,5.51471,4,2,1,6,8,5,"IDLE","none",4.00633,3.54636,0.877394,1,22,"STANDBY",41585752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,16.83,"IDLE",0,0
39,123.317,20,43.5709,30.5709,54.5595,46.5595,1,"CORRECTING",17.5709,5.57091,4,2,1,6,8,5,"IDLE","none",4.03141,3.58987,0.478588,1,12,"STANDBY",41585752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,16.8,"IDLE",0,0
40,123.336,20,40.6262,27.6262,56.7823,48.7823,1,"TRACKER_DEGRADED",14.6262,5.62625,4,2,1,6,8,5,"IDLE","none",4.04974,3.60964,0.199985,0,5,"STANDBY",41585752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,16.77,"IDLE",0,0
41,123.487,20,43.6829,30.6829,54.6033,46.6033,1,"CORRECTING",17.6829,5.68287,4,2,1,6,8,5,"IDLE","none",4.06211,3.65125,0.823252,1,22,"STANDBY",41585752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,16.74,"IDLE",0,0
42,123.758,20,40.7378,27.7378,57.0149,49.0149,1,"TRACKER_DEGRADED",14.7378,5.7378,4,2,1,6,8,5,"IDLE","none",4.06896,3.65873,0.204721,0,7,"STANDBY",41585752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,16.71,"IDLE",0,0
43,124.128,20,40.7921,27.7921,57.2522,49.2522,1,"TRACKER_DEGRADED",14.7921,5.79209,4,2,1,6,8,5,"IDLE","none",4.07109,3.66182,0.444778,0,15,"STANDBY",41585752,"IDLE",0,0,"dataset_1",2,0,3,1024,14,1,"PASSIVE",0,16.68,"IDLE",0,0
44,124.576,20,44.8292,31.8292,54.5602,46.5602,1,"TRACKER_DEGRADED",14.8292,5.82923,4,2,1,10,8,5,"IDLE","none",4.03036,3.62096,0.333277,0,15,"STANDBY",41585752,"ACQUIRE",1,0,"dataset_1",2,1,3,1024,14,1,"PASSIVE",0,16.65,"IDLE",0,0
45,125.074,20,47.8648,34.8648,52.657,44.657,1,"CORRECTING",17.8648,5.86479,4,2,1,10,8,5,"IDLE","none",3.95518,3.56207,0.498797,1,14,"STANDBY",41585752,"ACQUIRE",1,0,"dataset_1",2,2,3,1024,14,1,"PASSIVE",0,16.62,"IDLE",0,0
46,125.593,20,43.8974,30.8974,56.0214,48.0214,1,"CORRECTING",17.8974,5.89743,4,2,1,6,8,5,"IDLE","none",3.85275,3.47662,0.55174,1,16,"STANDBY",41585752,"READY",0,1,"dataset_2",3,3,3,1024,14,1,"PASSIVE",0,16.59,"IDLE",0,0
47,126.101,20,40.9264,27.9264,58.631,50.631,1,"TRACKER_DEGRADED",14.9264,5.92639,4,2,1,6,8,5,"IDLE","none",3.72952,3.35261,0.272155,0,7,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.56,"IDLE",0,0
48,126.568,20,40.9529,27.9529,58.9613,50.9613,1,"TRACKER_DEGRADED",14.9529,5.9529,4,2,1,6,8,5,"IDLE","none",3.59153,3.2134,0.236199,0,11,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.53,"IDLE",0,0
49,126.964,20,50.9777,37.9777,51.7396,43.7396,1,"TRACKER_DEGRADED",14.9777,5.97773,4,12,1,6,8,5,"IDLE","none",3.444,3.0649,0.255212,0,9,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"HEATING",1,16.68,"IDLE",0,0
50,127.261,20,41.0008,28.0008,59.4451,51.4451,1,"TRACKER_DEGRADED",15.0008,6.00084,4,2,1,6,8,5,"IDLE","none",3.29134,2.91095,0.362055,0,20,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.65,"IDLE",0,0
51,127.435,20,41.0223,28.0223,59.5597,51.5597,1,"TRACKER_DEGRADED",15.0223,6.02234,4,2,1,6,8,5,"IDLE","none",3.13733,2.75532,0.225232,0,19,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.62,"IDLE",0,0
52,127.467,20,41.043,28.043,59.5683,51.5683,1,"TRACKER_DEGRADED",15.043,6.04296,4,2,1,6,8,5,"IDLE","none",2.98512,2.60166,0.0572618,0,20,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.59,"IDLE",0,0
53,127.343,20,41.0627,28.0627,59.4601,51.4601,1,"TRACKER_DEGRADED",15.0627,6.06268,4,2,1,6,8,5,"IDLE","none",2.8372,2.45281,0.358883,0,20,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.56,"IDLE",0,0
54,127.053,20,44.0826,31.0826,56.978,48.978,1,"CORRECTING",18.0826,6.08255,4,2,1,6,8,5,"IDLE","none",2.69551,2.3277,0.59653,1,21,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.53,"IDLE",0,0
55,126.597,20,54.1022,41.1022,49.1208,41.1208,1,"CORRECTING",18.1022,6.10224,4,12,1,6,8,5,"IDLE","none",2.56132,2.2129,0.737488,1,25,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"HEATING",1,16.68,"IDLE",0,0
56,125.977,20,41.1205,28.1205,58.3925,50.3925,1,"TRACKER_DEGRADED",15.1205,6.1205,4,2,1,6,8,5,"IDLE","none",2.43548,2.0855,0.319125,0,8,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.65,"IDLE",0,0
57,125.205,20,41.1381,28.1381,57.8004,49.8004,1,"TRACKER_DEGRADED",15.1381,6.13815,4,2,1,6,8,5,"IDLE","none",2.31877,1.96739,0.148945,0,5,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.62,"IDLE",0,0
58,124.297,20,41.1558,28.1558,57.1063,49.1063,1,"TRACKER_DEGRADED",15.1558,6.15577,4,2,1,6,8,5,"IDLE","none",2.21167,1.85929,0.176837,0,6,"STANDBY",41585752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.59,"IDLE",0,0
59,123.275,20,55.1745,42.1745,45.8256,37.8256,1,"CORRECTING",18.1745,6.17448,15,2,1,6,8,5,"THROTTLED","none",2.11439,1.78387,0.828651,1,22,"DOWNLINK",41577752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.56,"IDLE",0,0
60,122.165,20,55.1936,42.1936,44.9782,36.9782,1,"CORRECTING",18.1936,6.19364,15,2,1,6,8,5,"THROTTLED","none",2.02658,1.71246,0.63589,1,20,"DOWNLINK",41569752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.53,"IDLE",0,0
61,120.995,20,62.2114,49.2114,38.8377,30.8377,1,"TRACKER_DEGRADED",15.2114,6.21144,15,12,1,6,8,5,"THROTTLED","none",1.9477,1.6337,0.397602,0,10,"DOWNLINK",41561752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"HEATING",1,16.68,"IDLE",0,0
62,119.798,20,55.2299,42.2299,43.1763,35.1763,1,"CORRECTING",18.2299,6.22989,15,2,1,6,8,5,"THROTTLED","none",1.87747,1.57683,0.550202,1,14,"DOWNLINK",41553752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.65,"IDLE",0,0
63,118.607,20,55.2489,42.2489,42.2685,34.2685,1,"CORRECTING",18.2489,6.24892,15,2,1,6,8,5,"THROTTLED","none",1.81538,1.53465,0.86478,1,23,"DOWNLINK",41545752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.62,"IDLE",0,0
64,117.454,20,55.2688,42.2688,41.3888,33.3888,1,"CORRECTING",18.2688,6.26877,15,2,1,6,8,5,"THROTTLED","none",1.76073,1.49957,0.872243,1,22,"DOWNLINK",41537752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.59,"IDLE",0,0
65,116.37,20,55.2844,42.2844,40.564,32.564,1,"CORRECTING",18.2844,6.28435,15,2,1,6,8,5,"THROTTLED","none",1.70387,1.4596,0.793895,1,21,"DOWNLINK",41529752,"IDLE",0,0,"dataset_2",3,0,3,1024,14,1,"PASSIVE",0,16.56,"IDLE",0,0
66,115.383,20,59.2991,46.2991,36.8132,28.8132,1,"CORRECTING",18.2991,6.29905,15,2,1,10,8,5,"THROTTLED","none",1.64978,1.42153,0.792206,1,23,"DOWNLINK",41521752,"ACQUIRE",1,0,"dataset_2",3,1,3,1024,14,1,"PASSIVE",0,16.53,"IDLE",0,0
67,114.519,20,58.3166,45.3166,36.9018,28.9018,1,"CORRECTING",18.3166,6.31661,4,12,1,10,8,5,"IDLE","none",1.60428,1.39515,0.959947,1,24,"STANDBY",41521752,"ACQUIRE",1,0,"dataset_2",3,2,3,1024,14,1,"HEATING",1,16.68,"IDLE",0,0
68,113.797,20,41.3396,28.3396,49.093,41.093,1,"TRACKER_DEGRADED",15.3396,6.33961,4,2,1,6,8,5,"IDLE","none",1.57281,1.36764,0.391448,0,12,"STANDBY",41521752,"READY",0,1,"dataset_3",4,3,3,1024,14,1,"PASSIVE",0,16.65,"IDLE",0,0
69,113.231,20,41.3614,28.3614,48.6525,40.6525,1,"TRACKER_DEGRADED",15.3614,6.36136,4,2,1,6,8,5,"IDLE","none",1.5598,1.36173,0.219629,0,13,"STANDBY",41521752,"IDLE",0,0,"dataset_3",4,0,3,1024,14,1,"PASSIVE",0,16.62,"IDLE",0,0
70,112.831,20,44.3822,31.3822,46.0863,38.0863,1,"CORRECTING",18.3822,6.38224,4,2,1,6,8,5,"IDLE","none",1.56756,1.38794,0.599993,1,15,"STANDBY",41521752,"IDLE",0,0,"dataset_3",4,0,3,1024,14,1,"PASSIVE",0,16.59,"IDLE",0,0
71,112.597,20,41.4045,28.4045,48.1445,40.1445,1,"TRACKER_DEGRADED",15.4045,6.40453,4,2,1,6,8,5,"IDLE","none",1.59599,1.42745,0.357831,0,11,"STANDBY",41521752,"IDLE",0,0,"dataset_3",4,0,3,1024,14,1,"PASSIVE",0,16.56,"IDLE",0,0
72,112.527,20,41.4262,28.4262,48.0753,40.0753,1,"TRACKER_DEGRADED",15.4262,6.42619,4,2,1,6,8,5,"IDLE","none",1.64308,1.48627,0.311774,0,8,"STANDBY",41521752,"IDLE",0,0,"dataset_3",4,0,3,1024,14,1,"PASSIVE",0,16.53,"IDLE",0,0
73,112.608,20,51.4473,38.4473,40.6208,32.6208,1,"TRACKER_DEGRADED",15.4473,6.44725,4,12,1,6,8,5,"IDLE","none",1.70548,1.56048,0.431341,0,11,"STANDBY",41521752,"IDLE",0,0,"dataset_3",4,0,3,1024,14,1,"HEATING",1,16.68,"IDLE",0,0
74,112.826,20,41.4671,28.4671,48.2694,40.2694,1,"TRACKER_DEGRADED",15.4671,6.46713,4,2,1,6,8,5,"IDLE","none",1.77917,1.64663,0.204059,0,10,"STANDBY",41521752,"IDLE",0,0,"dataset_3",4,0,3,1024,14,1,"PASSIVE",0,16.65,"IDLE",0,0
75,113.16,20,41.4853,28.4853,48.5057,40.5057,1,"TRACKER_DEGRADED",15.4853,6.48526,4,2,1,6,8,5,"IDLE","none",1.85996,1.73879,0.0966948,0,11,"STANDBY",41521752,"IDLE",0,0,"dataset_3",4,0,3,1024,14,1,"PASSIVE",0,16.62,"IDLE",0,0
76,113.583,20,44.5024,31.5024,46.5601,38.5601,1,"CORRECTING",18.5024,6.50237,4,2,1,6,8,5,"IDLE","none",1.94425,1.84034,0.920573,1,24,"STANDBY",41521752,"IDLE",0,0,"dataset_3",4,0,3,1024,14,1,"PASSIVE",0,16.59,"IDLE",0,0
77,114.067,20,44.5191,31.5191,46.9108,38.9108,1,"CORRECTING",18.5191,6.51912,4,2,1,6,8,5,"IDLE","none",2.02892,1.9368,0.606567,1,20,"STANDBY",41521752,"IDLE",0,0,"dataset_3",4,0,3,1024,14,1,"PASSIVE",0,16.56,"IDLE",0,0
78,114.582,20,44.5347,31.5347,47.2856,39.2856,1,"CORRECTING",18.5347,6.53466,4,2,1,6,8,5,"IDLE","none",2.11161,2.02998,0.782308,1,20,"STANDBY",41521752,"IDLE",0,0,"dataset_3",4,0,3,1024,14,1,"PASSIVE",0,16.53,"IDLE",0,0
79,115.097,20,51.5501,38.5501,42.4104,34.4104,1,"TRACKER_DEGRADED",15.5501,6.55005,4,12,1,6,8,5,"IDLE","none",2.19054,2.1138,0.292497,0,23,"STANDBY",41521752,"IDLE",0,0,"dataset_3",4,0,3,1024,14,1,"HEATING",1,16.68,"IDLE",0,0
